Nombre	Fechas	Valores
104240124	2012-04-01	10.46
104240124	2012-05-01	10.25
104240124	2012-06-01	10.13
104240124	2012-07-01	9.97
104240124	2012-08-01	9.87
104240124	2012-09-01	9.81
104240124	2012-10-01	10.07
104240124	2012-11-01	10.53
104240124	2012-12-01	10.57
104240124	2013-01-01	10.55
104240124	2013-02-01	10.51
104240124	2013-03-01	10.64
104240124	2013-04-01	10.59
104240124	2013-05-01	10.38
104240124	2013-06-01	10.17
104240124	2013-07-01	10.05
104240124	2013-08-01	9.98
104240124	2013-09-01	10.05
104240124	2013-10-01	10.19
104240124	2013-11-01	10.25
104240124	2013-12-01	10.27
104240124	2014-01-01	10.51
104240124	2014-02-01	10.58
104240124	2014-03-01	10.46
104240124	2014-04-01	10.43
104240124	2014-05-01	10.2
104240124	2014-06-01	10.15
104240124	2014-07-01	10.03
104240124	2014-08-01	9.9
104240124	2014-09-01	9.88
104240124	2014-10-01	10.17
104240124	2014-11-01	10.28
104240124	2014-12-01	10.64
104240124	2015-01-01	10.8
104240124	2015-02-01	10.64
104240124	2015-03-01	10.66
104240124	2015-04-01	10.38
104240124	2015-05-01	10.21
104240124	2015-06-01	10.08
104240124	2015-07-01	9.88
104240124	2015-08-01	9.83
104240124	2015-09-01	9.8
104240124	2015-10-01	10.13
104240124	2015-11-01	10.33
104240124	2015-12-01	10.37
104240124	2016-01-01	10.44
104240124	2016-02-01	10.41
104240124	2016-03-01	10.39
104240124	2016-04-01	10.43
104240124	2016-05-01	10.44
104240124	2016-06-01	10.41
104240124	2016-07-01	10.06
104240124	2016-08-01	10.01
104240124	2016-09-01	9.84
104240124	2016-10-01	10.17
104240124	2016-11-01	10.41
104240124	2016-12-01	10.81
104240124	2017-01-01	10.56
104240124	2017-02-01	10.85
104240124	2017-03-01	10.57
104240124	2017-04-01	10.43
104240124	2017-05-01	10.39
104240124	2017-06-01	10.28
104240124	2017-07-01	10.11
104240124	2017-08-01	10.01
104240124	2017-09-01	10.08
104240124	2017-10-01	10.14
104240124	2017-11-01	10.23
104240124	2017-12-01	10.39
104240124	2018-01-01	10.39
104240124	2018-02-01	10.33
104240124	2018-03-01	10.7
104240124	2018-04-01	10.68
104240124	2018-05-01	10.57
104240124	2018-06-01	10.43
104240124	2018-07-01	10.18
104240124	2018-08-01	10.03
104240124	2018-09-01	9.97
104240124	2018-10-01	10.2
104240124	2018-11-01	10.3
104240124	2018-12-01	10.4
104240124	2019-01-01	10.51
104240124	2019-02-01	10.6
104240124	2019-03-01	10.39
104240124	2019-04-01	10.38
104240124	2019-05-01	10.1
104240124	2019-06-01	10.01
104240124	2019-07-01	9.89
104240124	2019-08-01	9.86
114150046	2010-01-01	
114150046	2010-02-01	
114150046	2010-03-01	
114150046	2010-04-01	
114150046	2010-05-01	13.16
114150046	2010-06-01	12.77
114150046	2010-07-01	12.11
114150046	2010-08-01	11.75
114150046	2010-09-01	11.4
114150046	2010-10-01	10.98
114150046	2010-11-01	10.8
114150046	2010-12-01	11.6
114150046	2011-01-01	13.96
114150046	2011-02-01	14.0
114150046	2011-03-01	13.89
114150046	2011-04-01	13.71
114150046	2011-05-01	14.0
114150046	2011-06-01	12.74
114150046	2011-07-01	12.5
114150046	2011-08-01	11.91
114150046	2011-09-01	11.51
114150046	2011-10-01	11.11
114150046	2011-11-01	13.33
114150046	2011-12-01	12.97
114150046	2012-01-01	12.04
114150046	2012-02-01	11.56
114150046	2012-03-01	11.31
114150046	2012-04-01	12.04
114150046	2012-05-01	11.58
114150046	2012-06-01	11.01
114150046	2012-07-01	10.61
114150046	2012-08-01	10.37
114150046	2012-09-01	9.95
114150046	2012-10-01	9.61
114150046	2012-11-01	12.27
114150046	2012-12-01	11.74
114150046	2013-01-01	11.01
114150046	2013-02-01	10.88
114150046	2013-03-01	13.46
114150046	2013-04-01	12.95
114150046	2013-05-01	12.01
114150046	2013-06-01	11.73
114150046	2013-07-01	11.1
114150046	2013-08-01	10.64
114150046	2013-09-01	10.39
114150046	2013-10-01	10.08
114150046	2013-11-01	10.27
114150046	2013-12-01	9.78
114150046	2014-01-01	10.77
114150046	2014-02-01	11.37
114150046	2014-03-01	11.19
114150046	2014-04-01	10.7
114150046	2014-05-01	10.01
114150046	2014-06-01	9.48
114150046	2014-07-01	9.3
114150046	2014-08-01	8.88
114150046	2014-09-01	8.83
114150046	2014-10-01	8.64
114150046	2014-11-01	8.67
114150046	2014-12-01	12.07
114150046	2015-01-01	11.4
114150046	2015-02-01	12.21
114150046	2015-03-01	11.68
114150046	2015-04-01	10.95
114150046	2015-05-01	10.37
114150046	2015-06-01	9.7
114150046	2015-07-01	9.36
114150046	2015-08-01	9.13
114150046	2015-09-01	8.9
114150046	2015-10-01	8.73
114150046	2015-11-01	10.56
114150046	2015-12-01	10.01
114150046	2016-01-01	9.35
114150046	2016-02-01	9.0
114150046	2016-03-01	8.74
114150046	2016-04-01	8.58
114150046	2016-05-01	11.08
114150046	2016-06-01	10.57
114150046	2016-07-01	9.75
114150046	2016-08-01	9.1
114150046	2016-09-01	9.06
114150046	2016-10-01	9.21
114150046	2016-11-01	9.06
114150046	2016-12-01	12.63
114150046	2017-01-01	12.04
114150046	2017-02-01	11.66
114150046	2017-03-01	11.2
114150046	2017-04-01	13.0
114150046	2017-05-01	13.33
114150046	2017-06-01	12.24
114150046	2017-07-01	11.08
114150046	2017-08-01	10.37
114150046	2017-09-01	9.7
114150046	2017-10-01	9.43
114150046	2017-11-01	9.17
114150046	2017-12-01	9.72
114150046	2018-01-01	8.85
114150046	2018-02-01	8.64
114150046	2018-03-01	12.16
114150046	2018-04-01	12.2
114150046	2018-05-01	12.04
114150046	2018-06-01	10.48
114150046	2018-07-01	9.84
114150046	2018-08-01	9.51
114150046	2018-09-01	9.24
114150046	2018-10-01	8.74
114150046	2018-11-01	8.84
114150046	2018-12-01	10.41
114150046	2019-01-01	9.38
114150046	2019-02-01	9.8
114150046	2019-03-01	9.24
114150046	2019-04-01	8.77
114150046	2019-05-01	8.49
114150046	2019-06-01	8.33
114150046	2019-07-01	8.21
114150046	2019-08-01	8.05
104140056	2010-01-01	51.56
104140056	2010-02-01	51.64
104140056	2010-03-01	51.9
104140056	2010-04-01	51.72
104140056	2010-05-01	51.54
104140056	2010-06-01	51.36
104140056	2010-07-01	51.23
104140056	2010-08-01	51.11
104140056	2010-09-01	50.98
104140056	2010-10-01	50.85
104140056	2010-11-01	50.78
104140056	2010-12-01	50.9
104140056	2011-01-01	51.16
104140056	2011-02-01	51.16
104140056	2011-03-01	51.17
104140056	2011-04-01	51.12
104140056	2011-05-01	51.07
104140056	2011-06-01	50.98
104140056	2011-07-01	50.93
104140056	2011-08-01	50.88
104140056	2011-09-01	50.87
104140056	2011-10-01	50.82
104140056	2011-11-01	50.83
104140056	2011-12-01	50.92
104140056	2012-01-01	50.89
104140056	2012-02-01	50.88
104140056	2012-03-01	50.84
104140056	2012-04-01	50.81
104140056	2012-05-01	50.76
104140056	2012-06-01	50.67
104140056	2012-07-01	50.52
104140056	2012-08-01	50.4
104140056	2012-09-01	50.4
104140056	2012-10-01	50.37
104140056	2012-11-01	50.6
104140056	2012-12-01	50.61
104140056	2013-01-01	50.63
104140056	2013-02-01	50.64
104140056	2013-03-01	50.82
104140056	2013-04-01	51.16
104140056	2013-05-01	51.11
104140056	2013-06-01	50.98
104140056	2013-07-01	50.87
104140056	2013-08-01	50.75
104140056	2013-09-01	50.58
104140056	2013-10-01	50.54
104140056	2013-11-01	50.54
104140056	2013-12-01	50.51
104140056	2014-01-01	50.51
104140056	2014-02-01	50.62
104140056	2014-03-01	50.58
104140056	2014-04-01	50.6
104140056	2014-05-01	50.48
104140056	2014-06-01	50.4
104140056	2014-07-01	50.31
104140056	2014-08-01	50.28
104140056	2014-09-01	50.24
104140056	2014-10-01	50.34
104140056	2014-11-01	50.35
104140056	2014-12-01	50.45
104140056	2015-01-01	50.51
104140056	2015-02-01	50.81
104140056	2015-03-01	50.77
104140056	2015-04-01	50.71
104140056	2015-05-01	50.63
104140056	2015-06-01	50.53
104140056	2015-07-01	50.44
104140056	2015-08-01	50.34
104140056	2015-09-01	50.34
104140056	2015-10-01	50.34
104140056	2015-11-01	50.44
104140056	2015-12-01	50.42
104140056	2016-01-01	50.47
104140056	2016-02-01	50.44
104140056	2016-03-01	50.43
104140056	2016-04-01	50.44
104140056	2016-05-01	50.61
104140056	2016-06-01	50.41
104140056	2016-07-01	50.38
104140056	2016-08-01	50.34
104140056	2016-09-01	50.3
104140056	2016-10-01	50.32
104140056	2016-11-01	50.37
104140056	2016-12-01	50.8
104140056	2017-01-01	50.81
104140056	2017-02-01	50.85
104140056	2017-03-01	50.99
104140056	2017-04-01	51.1
104140056	2017-05-01	50.93
104140056	2017-06-01	51.01
104140056	2017-07-01	50.84
104140056	2017-08-01	50.73
104140056	2017-09-01	50.59
104140056	2017-10-01	50.53
104140056	2017-11-01	50.53
104140056	2017-12-01	50.75
104140056	2018-01-01	50.58
104140056	2018-02-01	50.57
104140056	2018-03-01	50.65
104140056	2018-04-01	50.85
104140056	2018-05-01	50.94
104140056	2018-06-01	50.78
104140056	2018-07-01	50.69
104140056	2018-08-01	50.56
104140056	2018-09-01	50.48
104140056	2018-10-01	50.43
104140056	2018-11-01	50.71
104140056	2018-12-01	50.87
104140056	2019-01-01	50.73
104140056	2019-02-01	50.68
104140056	2019-03-01	50.66
104140056	2019-04-01	50.63
104140056	2019-05-01	50.53
104140056	2019-06-01	50.47
104140056	2019-07-01	50.42
104140056	2019-08-01	50.36
